GEO_ID,NAME,S1901_C01_013E
14,Alamance ,71972
28,Brunswick ,85527
61,Buncombe ,95599
67,Burke ,72120
6,Cabarrus ,98459
75,Caldwell ,60961
33,Carteret ,80748
66,Catawba ,77189
13,Chatham ,127660
48,Cleveland ,63291
38,Craven ,72937
39,Cumberland ,67379
63,Davidson ,70766
11,Durham ,99245
81,Forsyth ,84377
8,Franklin ,78278
47,Gaston ,74203
79,Guilford ,83524
15,Harnett ,76706
52,Henderson ,82018
3,Iredell ,94756
27,Johnston ,82627
60,Lincoln ,93082
41,Mecklenburg ,109308
16,Moore ,98660
71,Nash ,75812
10,New Hanover ,98695
31,Onslow ,74114
12,Orange ,115819
19,Pitt ,66825
64,Randolph ,70020
25,Robeson ,53798
95,Rockingham ,64225
62,Rowan ,70309
96,Surry ,78927
5,Union ,119252
7,Wake ,119322
22,Wayne ,67175
4,Wilkes ,59797
21,Wilson ,61984
