County Name,Pop,County ID
Accomack,33246,1
Albemarle,113535,2
Alexandria ,154706,3
Alleghany,14986,4
Amelia,13268,5
Amherst,31273,6
Appomattox,16353,7
Arlington,232965,8
Augusta,77563,9
Bath,4114,10
Bedford,80131,11
Bland,6173,12
Botetourt,33866,13
Bristol ,17054,14
Brunswick,15940,15
Buchanan,19816,16
Buckingham,16947,17
Buena Vista ,6601,18
Campbell,55492,19
Caroline,31332,20
Carroll,29048,21
Charles,6594,22
Charlotte ,11448,23
Charlottesville ,45672,24
Chesapeake ,251269,25
Chesterfield ,370688,26
Clarke ,14881,27
Colonial Heights ,18273,28
Covington ,5717,29
Craig ,4865,30
Culpeper ,53596,31
Cumberland ,9681,32
Danville ,42215,33
Dickenson ,13787,34
Dinwiddie ,27912,35
Emporia ,5667,36
Essex ,10573,37
Fairfax ,1139720,39
Fairfax ,24276,38
Falls Church ,14493,40
Fauquier ,73815,41
Floyd ,15566,42
Fluvanna ,27723,43
Franklin ,54938,44
Franklin ,8217,45
Frederick ,93717,46
Fredericksburg ,28367,47
Galax ,6660,48
Giles ,16562,49
Gloucester ,39069,50
Goochland ,25488,51
Grayson ,15359,52
Greene ,20968,53
Greensville ,11437,54
Halifax ,33738,55
Hampton,137746,56
Hanover ,111603,57
Harrisonburg,51430,58
Henrico ,333554,59
Henry ,50248,60
Highland ,2226,61
Hopewell,23140,62
Isle of Wight ,39278,63
James City ,79882,64
King and Queen ,6662,65
King George ,27489,66
King William ,18171,67
Lancaster ,10928,68
Lee ,21983,69
Lexington,7456,70
Loudoun ,427592,71
Louisa ,38848,72
Lunenburg ,11926,73
Lynchburg,79009,74
Madison ,13942,75
Manassas,42708,76
Manassas Park,17002,77
Martinsville,13517,78
Mathews ,8546,79
Mecklenburg ,30248,80
Middlesex ,10781,81
Montgomery ,98473,82
Nelson ,14790,83
New Kent ,23897,84
Newport News,184587,85
Norfolk,235089,86
Northampton ,12085,87
Northumberland ,12029,88
Norton,3666,89
Nottoway ,15594,90
Orange ,37188,91
Page ,23807,92
Patrick ,17602,93
Petersburg,33429,94
Pittsylvania ,59972,95
Poquoson,12574,96
Portsmouth,97840,97
Powhatan ,31136,98
Prince Edward ,21932,99
Prince George ,42880,100
Prince William ,484472,101
Pulaski ,33759,102
Radford,16499,103
Rappahannock ,7407,104
Richmond ,9017,106
Richmond city,226604,105
Roanoke,98865,108
Roanoke ,96589,107
Rockbridge ,22641,109
Rockingham ,84394,110
Russell ,25550,111
Salem,25373,112
Scott ,21419,113
Shenandoah ,44752,114
Smyth ,29477,115
Southampton ,18006,116
Spotsylvania ,143676,117
Stafford ,160877,118
Staunton,25661,119
Suffolk,96194,120
Surry ,6530,121
Sussex ,10763,122
Tazewell ,39925,123
Virginia Beach,457672,124
Warren ,40925,125
Washington ,53635,126
Waynesboro,22550,127
Westmoreland ,18731,128
Williamsburg,15590,129
Winchester,28136,130
Wise ,35647,131
Wythe ,28178,132
York ,70915,133
