Geographic Area Name (NAME),Number of supermarkets,County ID
Accomack ,9,1
Albemarle ,17,2
Amherst ,5,6
Arlington ,47,8
Augusta ,7,9
Bedford ,8,11
Botetourt ,5,13
Buchanan ,5,16
Campbell ,7,19
Caroline ,4,20
Carroll ,4,21
Chesterfield ,50,26
Culpeper ,9,31
Dickenson ,3,34
Dinwiddie ,6,35
Fairfax ,196,39
Fauquier ,7,41
Floyd ,4,42
Franklin ,4,45
Frederick ,9,46
Giles ,5,49
Gloucester ,6,50
Halifax ,7,55
Hanover ,14,57
Henrico ,64,59
Henry ,8,60
Isle of Wight ,6,63
James City ,12,64
Lancaster ,3,68
Lee ,5,69
Loudoun ,61,71
Louisa ,4,72
Lunenburg ,4,73
Madison ,3,75
Mecklenburg ,5,80
Middlesex ,3,81
Montgomery ,11,82
New Kent ,3,84
Northampton ,3,87
Northumberland ,3,88
Orange ,3,91
Page ,5,92
Pittsylvania ,7,95
Powhatan ,3,98
Prince William ,69,101
Pulaski ,4,102
Roanoke ,13,108
Rockbridge ,4,109
Rockingham ,10,110
Scott ,5,113
Shenandoah ,6,114
Smyth ,5,115
Southampton ,3,116
Spotsylvania ,22,117
Stafford ,14,118
Tazewell ,7,123
Warren ,6,125
Washington ,11,126
Westmoreland ,5,128
Wise ,8,131
Wythe ,7,132
York ,9,133
Alexandria ,42,3
Bristol ,5,14
Charlottesville ,22,24
Chesapeake ,32,25
Colonial Heights ,4,28
Danville ,17,33
Emporia ,3,36
Fairfax ,17,38
Falls Church ,10,40
Fredericksburg ,9,47
Galax ,3,48
Hampton ,25,56
Harrisonburg ,18,58
Hopewell ,6,62
Lynchburg ,12,74
Manassas ,16,76
Martinsville ,5,78
Newport News ,33,85
Norfolk ,42,86
Petersburg ,12,94
Portsmouth ,15,97
Radford ,3,103
Richmond ,54,105
Roanoke ,26,107
Salem ,4,112
Staunton ,8,119
Suffolk ,16,120
Virginia Beach ,87,124
Waynesboro ,7,127
Williamsburg ,4,129
Winchester ,7,130
